track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,author,producer
Frogs,Alice In Chains,studio album,1995,Alice In Chains,498,0.028,0.388,0.474,0.468,11,0.116,-9.574,1,0.0283,95.183,4,0.0871,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
Over Now,Alice In Chains,studio album,1995,Alice In Chains,423,0.174,0.481,0.566,0.0743,5,0.355,-10.054,0,0.0342,106.634,4,0.302,"Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
Rotten Apple,Jar Of Flies,extended play,1994,Alice In Chains,418,0.215,0.31,0.637,0.116,3,0.0619,-8.595,0,0.037,147.4,4,0.426,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains
Nutshell,Jar Of Flies,extended play,1994,Alice In Chains,259,0.373,0.384,0.561,0.253,3,0.0775,-10.059,0,0.0296,136.136,3,0.159,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains
I Stay Away,Jar Of Flies,extended play,1994,Alice In Chains,254,0.0452,0.174,0.781,0.00346,6,0.0822,-7.066,1,0.0406,81.37,4,0.276,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains
No Excuses,Jar Of Flies,extended play,1994,Alice In Chains,255,0.0206,0.527,0.838,0.00062,3,0.07,-6.013,1,0.0323,117.454,4,0.721,Jerry Cantrell,Alice in Chains
Whale & Wasp,Jar Of Flies,extended play,1994,Alice In Chains,157,0.926,0.312,0.248,0.866,6,0.188,-10.576,1,0.0311,102.364,4,0.224,Jerry Cantrell,Alice in Chains
Don't Follow,Jar Of Flies,extended play,1994,Alice In Chains,262,0.781,0.314,0.37,0.139,1,0.122,-9.921,1,0.0286,116.066,1,0.28,Jerry Cantrell,Alice in Chains
Swing On This,Jar Of Flies,extended play,1994,Alice In Chains,244,0.0438,0.412,0.759,0.0995,5,0.352,-8.045,1,0.0411,129.742,4,0.447,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains
Them Bones,Dirt,studio album,1992,Alice In Chains,149,0.0235,0.159,0.946,8.06e-06,9,0.387,-5.756,1,0.0629,165.014,1,0.309,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Dam That River,Dirt,studio album,1992,Alice In Chains,189,0.00636,0.427,0.913,0.0,6,0.471,-5.545,0,0.0804,124.419,4,0.471,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Rain When I Die,Dirt,studio album,1992,Alice In Chains,361,0.0183,0.422,0.859,0.000673,9,0.209,-6.778,1,0.0757,120.078,3,0.203,"Layne Staley, Jerry Cantrell, Sean Kinney","Dave Jerden, Alice in Chains"
Down In A Hole,Dirt,studio album,1992,Alice In Chains,338,0.0134,0.357,0.795,0.00013,6,0.111,-5.909,1,0.0337,97.171,4,0.416,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Sickman,Dirt,studio album,1992,Alice In Chains,329,0.00743,0.287,0.912,0.00069,1,0.0871,-5.553,1,0.0954,139.106,3,0.274,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains"
Rooster,Dirt,studio album,1992,Alice In Chains,374,0.0307,0.271,0.551,0.000581,3,0.118,-8.46,1,0.0272,143.899,3,0.2,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Junkhead,Dirt,studio album,1992,Alice In Chains,309,0.0013,0.298,0.776,0.000271,11,0.096,-7.171,1,0.0376,140.453,4,0.245,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains"
Dirt,Dirt,studio album,1992,Alice In Chains,316,0.00323,0.258,0.926,5.15e-06,1,0.13,-5.901,1,0.0761,112.643,4,0.251,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains"
God Smack,Dirt,studio album,1992,Alice In Chains,230,0.0138,0.515,0.928,0.0,10,0.107,-6.392,0,0.0694,124.058,4,0.389,,
Untitled,Dirt,studio album,1992,Alice In Chains,43,0.401,0.11,0.424,0.269,3,0.658,-7.243,1,0.0408,85.946,1,0.416,,
Hate To Feel,Dirt,studio album,1992,Alice In Chains,316,0.115,0.293,0.909,0.0,8,0.0512,-5.394,1,0.0955,138.561,4,0.114,Layne Staley,"Dave Jerden, Alice in Chains"
Angry Chair,Dirt,studio album,1992,Alice In Chains,287,0.0419,0.325,0.936,0.0,8,0.0415,-6.295,1,0.0848,106.988,4,0.159,Layne Staley,"Dave Jerden, Alice in Chains"
Would?,Dirt,studio album,1992,Alice In Chains,206,0.000327,0.305,0.833,2.36e-05,6,0.091,-7.981,1,0.0398,100.675,4,0.586,Jerry Cantrell,"Alice in Chains, Parashar"
We Die Young,Facelift,studio album,1990,Alice In Chains,152,1.79e-05,0.486,0.938,0.000103,1,0.361,-6.652,1,0.0704,125.816,4,0.525,Jerry Cantrell,Dave Jerden
Man in the Box,Facelift,studio album,1990,Alice In Chains,285,0.00045,0.355,0.791,0.0,8,0.0969,-7.565,1,0.0453,106.392,4,0.758,"Layne Staley, Jerry Cantrell",Dave Jerden
Sea Of Sorrow,Facelift,studio album,1990,Alice In Chains,349,0.0139,0.288,0.843,0.0,11,0.0555,-7.858,1,0.0633,122.147,4,0.311,Jerry Cantrell,Dave Jerden
Bleed The Freak,Facelift,studio album,1990,Alice In Chains,242,0.00252,0.245,0.749,7.87e-06,8,0.185,-9.352,0,0.0599,118.363,4,0.221,,
I Can't Remember,Facelift,studio album,1990,Alice In Chains,222,0.00146,0.277,0.736,2.43e-05,8,0.214,-8.851,1,0.0404,104.974,4,0.185,"Layne Staley, Jerry Cantrell",Dave Jerden
"Love, Hate, Love",Facelift,studio album,1990,Alice In Chains,387,0.00783,0.323,0.633,0.000112,8,0.0435,-9.014,1,0.0402,103.978,4,0.209,"Layne Staley, Jerry Cantrell",Dave Jerden
It Ain't Like That,Facelift,studio album,1990,Alice In Chains,277,0.00905,0.445,0.842,3.57e-05,8,0.295,-7.9,0,0.0417,102.859,4,0.676,"Jerry Cantrell, Sean Kinney",Dave Jerden
Sunshine,Facelift,studio album,1990,Alice In Chains,285,0.00297,0.178,0.787,6.9e-06,1,0.163,-7.008,1,0.0476,76.932,4,0.37,Jerry Cantrell,Dave Jerden
Put You Down,Facelift,studio album,1990,Alice In Chains,195,0.00068,0.363,0.901,1.88e-05,5,0.348,-8.147,0,0.0558,113.575,4,0.574,Jerry Cantrell,Dave Jerden
Confusion,Facelift,studio album,1990,Alice In Chains,344,0.00666,0.251,0.734,4.73e-05,3,0.116,-7.43,1,0.0397,149.831,4,0.129,"Layne Staley, Jerry Cantrell",Dave Jerden
I Know Somethin (Bout You),Facelift,studio album,1990,Alice In Chains,262,7.98e-05,0.414,0.822,1.78e-06,8,0.402,-8.972,0,0.0597,113.363,4,0.747,Jerry Cantrell,Dave Jerden
Real Thing,Facelift,studio album,1990,Alice In Chains,245,0.00993,0.341,0.883,0.0,8,0.0714,-7.342,1,0.0906,123.056,4,0.265,"Layne Staley, Jerry Cantrell",Dave Jerden
Man in the Box,Greatest Hits,compilation album,2001,Alice In Chains,287,0.00144,0.339,0.854,0.0,8,0.0942,-4.577,1,0.0493,106.145,4,0.675,"Layne Staley, Jerry Cantrell",Dave Jerden
