track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
I Stay Away,Greatest Hits,compilation album,2001,Alice In Chains,254,0.0915,0.195,0.855,0.000571,6,0.0886,-5.328,1,0.0442,82.974,4,0.36
Grind,Greatest Hits,compilation album,2001,Alice In Chains,286,0.000206,0.254,0.923,0.000301,11,0.302,-4.523,1,0.0531,176.605,4,0.317
Heaven Beside You,Greatest Hits,compilation album,2001,Alice In Chains,329,0.00217,0.531,0.769,0.00101,10,0.138,-4.902,0,0.0349,111.272,4,0.523
Again,Greatest Hits,compilation album,2001,Alice In Chains,245,0.000896,0.547,0.902,0.0198,7,0.133,-5.349,1,0.0533,123.193,4,0.366
Get Born Again,Music Bank,compilation album,1999,Alice In Chains,324,0.00129,0.339,0.863,0.024,8,0.145,-6.463,1,0.0561,102.682,4,0.271
I Can't Have You Blues,Music Bank,compilation album,1999,Alice In Chains,240,0.00496,0.333,0.975,0.0,1,0.308,-3.847,1,0.136,142.995,4,0.322
Whatcha Gonna Do,Music Bank,compilation album,1999,Alice In Chains,173,0.0292,0.388,0.99,1.06e-05,1,0.0637,-4.209,1,0.102,151.494,4,0.536
Social Parasite,Music Bank,compilation album,1999,Alice In Chains,261,0.00318,0.399,0.971,1.12e-06,8,0.337,-4.107,1,0.0853,138.942,4,0.398
Queen of the Rodeo,Music Bank,compilation album,1999,Alice In Chains,278,0.00243,0.155,0.743,0.128,1,0.392,-7.636,1,0.0473,50.465,4,0.369
Bleed the Freak,Music Bank,compilation album,1999,Alice In Chains,211,0.0012,0.169,0.773,0.0648,5,0.0759,-5.567,0,0.0479,127.104,4,0.409
Killing Yourself,Music Bank,compilation album,1999,Alice In Chains,158,0.00424,0.417,0.967,0.0,8,0.371,-4.347,1,0.184,143.105,4,0.233
We Die Young,Music Bank,compilation album,1999,Alice In Chains,152,3.82e-05,0.472,0.971,0.00023,1,0.248,-3.635,1,0.0703,125.74,4,0.422
Man in the Box,Music Bank,compilation album,1999,Alice In Chains,287,0.00112,0.338,0.853,0.0,8,0.0759,-4.589,1,0.0482,106.118,4,0.694
Sea Of Sorrow,Music Bank,compilation album,1999,Alice In Chains,321,0.00498,0.312,0.907,0.0,11,0.0504,-4.033,1,0.0724,130.681,4,0.324
I Can't Remember,Music Bank,compilation album,1999,Alice In Chains,223,0.00756,0.265,0.822,0.000117,8,0.211,-4.926,1,0.0444,104.287,4,0.196
"Love, Hate, Love",Music Bank,compilation album,1999,Alice In Chains,389,0.0341,0.303,0.726,0.000367,8,0.0424,-5.566,1,0.0479,102.528,4,0.158
It Ain't Like That,Music Bank,compilation album,1999,Alice In Chains,278,0.0313,0.426,0.907,0.000136,8,0.243,-4.199,1,0.0415,103.078,4,0.623
Confusion,Music Bank,compilation album,1999,Alice In Chains,345,0.0125,0.197,0.826,0.000406,3,0.0704,-4.713,1,0.0416,71.397,4,0.0982
Rooster,Music Bank,compilation album,1999,Alice In Chains,346,0.0229,0.322,0.568,0.00138,8,0.123,-6.74,1,0.0259,154.351,4,0.181
Right Turn,Music Bank,compilation album,1999,Alice In Chains,194,0.175,0.505,0.408,0.0,8,0.177,-7.436,1,0.0231,96.405,4,0.245
Got Me Wrong,Music Bank,compilation album,1999,Alice In Chains,249,0.146,0.485,0.915,0.00144,8,0.21,-4.954,1,0.0651,83.45,4,0.215
Rain When I Die,Music Bank,compilation album,1999,Alice In Chains,362,0.0395,0.409,0.915,0.0013,9,0.117,-5.348,1,0.0988,120.145,3,0.163
Fear The Voices,Music Bank,compilation album,1999,Alice In Chains,297,0.04,0.281,0.953,0.000298,4,0.148,-5.376,1,0.0848,101.15,4,0.345
Them Bones,Music Bank,compilation album,1999,Alice In Chains,149,0.0255,0.156,0.956,9.64e-05,9,0.313,-4.578,1,0.0623,165.217,1,0.345
Dam That River,Music Bank,compilation album,1999,Alice In Chains,189,0.00957,0.424,0.934,0.0,6,0.44,-4.19,0,0.0722,124.317,4,0.488
