,track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
137,Black Saturday - Demo,King Animal (Deluxe Version),album,2012,Soundgarden,196,0.0124,0.506,0.726,3.08e-06,5,0.119,-4.794,1,0.0295,154.201,4,0.426
138,By Crooked Steps - Demo,King Animal (Deluxe Version),album,2012,Soundgarden,262,0.0558,0.446,0.702,0.353,2,0.0704,-7.061,1,0.0419,118.359,5,0.303
139,Been Away Too Long - Commentary,Commentary,album,2012,Soundgarden,60,0.954,0.593,0.318,0.0,10,0.206,-21.346,0,0.758,79.046,4,0.626
140,Non-State Actor - Commentary,Commentary,album,2012,Soundgarden,41,0.898,0.73,0.14,0.0,9,0.336,-24.036,0,0.42,106.654,1,0.923
141,By Crooked Steps - Commentary,Commentary,album,2012,Soundgarden,51,0.962,0.591,0.264,3.6e-06,0,0.141,-21.381,0,0.331,131.923,1,0.574
142,A Thousand Days Before - Commentary,Commentary,album,2012,Soundgarden,49,0.847,0.668,0.302,0.0,4,0.312,-21.781,0,0.54,133.473,3,0.412
143,Blood On The Valley Floor - Commentary,Commentary,album,2012,Soundgarden,50,0.948,0.59,0.223,0.0,3,0.142,-21.873,1,0.126,87.735,4,0.529
144,Bones Of Birds - Commentary,Commentary,album,2012,Soundgarden,49,0.931,0.511,0.204,2.35e-05,10,0.121,-22.66,0,0.303,85.881,4,0.411
145,Taree - Commentary,Commentary,album,2012,Soundgarden,40,0.861,0.514,0.182,1.17e-06,8,0.17,-24.542,0,0.345,50.951,5,0.476
146,Attrition - Commentary,Commentary,album,2012,Soundgarden,37,0.782,0.611,0.212,0.0,0,0.125,-23.973,1,0.557,65.613,3,0.516
147,Black Saturday - Commentary,Commentary,album,2012,Soundgarden,38,0.831,0.574,0.242,0.0,0,0.27,-24.798,1,0.833,86.742,4,0.449
148,Halfway There - Commentary,Commentary,album,2012,Soundgarden,44,0.887,0.0,0.342,0.0,9,0.298,-22.159,0,0.0,0.0,0,0.0
149,Worse Dreams - Commentary,Commentary,album,2012,Soundgarden,33,0.862,0.662,0.281,0.0,8,0.325,-23.431,1,0.697,55.42,4,0.566
150,Eyelid's Mouth - Commentary,Commentary,album,2012,Soundgarden,45,0.897,0.664,0.254,0.0,1,0.198,-21.472,1,0.708,138.005,5,0.471
151,Rowing - Commentary,Commentary,album,2012,Soundgarden,27,0.778,0.581,0.361,0.0,7,0.602,-22.592,1,0.848,58.027,5,0.602
152,"Spoonman - Live At Crosby Hall, Del Mar/1996",Live On I-5,album,2011,Soundgarden,263,8.04e-05,0.366,0.92,0.0344,7,0.517,-7.56,1,0.0527,93.992,4,0.487
153,"Searching With My Good Eye Closed - Live At Crosby Hall, Del Mar/1996",Live On I-5,album,2011,Soundgarden,252,0.00125,0.291,0.867,0.00243,7,0.387,-6.672,1,0.0463,136.591,4,0.35
